State_Name,State_abbrev
Alabama,AL
Alaska,AK
Arizona,AZ
Arkansas,AR
California,CA
Colorado,CO
Connecticut,CT
Delaware,DE
Florida,FL
Georgia,GA
Hawaii,HI
Idaho,ID
Illinois,IL
Indiana,IN
Iowa,IA
Kansas,KS
Kentucky,KY
Louisiana,LA
Maryland,MD
Massachusetts,MA
Maine,ME
Michigan,MI
Missouri,MO
Mississippi,MS
Montana,MT
Minnesota,MN
Nebraska,NE
Nevada,NV
New Jersey,NJ
New Hampshire,NH
New York,NY
North Dakota,ND
North Carolina,NC
Ohio,OH
Oregon,OR
Oklahoma,OK
Pennsylvania,PA
Rhode Island,RI
South Dakota,SD
South Carolina,SC
Tennessee,TN
Texas,TX
Utah,UT
Vermont,VT
Virginia,VA
Wisconsin,WI
Washington,WA
West Virgina,WV
Wyoming,WY
DC,DC